"Anxiety1: by counties, local and unitary authorities; 2011/12  – 2015/162",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,Back to contents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Adults aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,
,,Average (mean) ratings,,,,,,,,,,,,,,,,,,,,,,
,,2011/12,2012/13,2013/14,2014/15,2015/16,,,,,,,,,,,,,,,,,,
Area Codes,Area Names ,,,,,,,,,,,,,,,,,,,,,,,
E07000147,North Norfolk,3.00,3.24,2.54,2.25,2.43,,,,,,,,,,,,,,,,,,
E07000148,Norwich,3.40,3.07,3.11,2.96,3.06,,,,,,,,,,,,,,,,,,
E07000149,South Norfolk,3.35,3.42,2.94,2.85,3.12,,,,,,,,,,,,,,,,,,
E10000029,Suffolk,2.99,2.88,2.98,2.97,2.81,,,,,,,,,,,,,,,,,,
E07000200,Babergh,2.90,2.88,2.42,2.69,3.07,,,,,,,,,,,,,,,,,,
E07000201,Forest Heath,2.74,2.72,3.14,3.51,2.81,,,,,,,,,,,,,,,,,,
E07000202,Ipswich,3.16,3.01,3.41,3.10,2.80,,,,,,,,,,,,,,,,,,
E07000203,Mid Suffolk,2.55,2.73,3.01,3.19,2.71,,,,,,,,,,,,,,,,,,
E07000204,St Edmundsbury,3.18,3.10,2.58,2.47,3.11,,,,,,,,,,,,,,,,,,
E07000205,Suffolk Coastal,2.92,3.11,3.20,2.89,2.47,,,,,,,,,,,,,,,,,,
E07000206,Waveney,3.27,2.51,2.96,3.13,2.81,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,LONDON,3.42,3.27,3.18,3.02,3.04,,,,,,,,,,,,,,,,,,
E09000007,Camden,3.81,3.24,3.41,3.21,3.16,,,,,,,,,,,,,,,,,,
E09000001,City of London,x,x,x,x,x,,,,,,,,,,,,,,,,,,
E09000012,Hackney ,3.88,3.66,3.79,3.32,3.13,,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham ,2.87,3.09,3.40,3.14,3.68,,,,,,,,,,,,,,,,,,
E09000014,Haringey,3.30,3.06,3.24,3.00,3.09,,,,,,,,,,,,,,,,,,
E09000019,Islington,3.66,3.68,3.45,3.27,3.41,,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,3.20,3.00,3.14,3.21,3.38,,,,,,,,,,,,,,,,,,
E09000022,Lambeth ,3.43,3.66,3.42,3.12,3.33,,,,,,,,,,,,,,,,,,
E09000023,Lewisham ,3.56,3.36,3.40,3.23,3.07,,,,,,,,,,,,,,,,,,
E09000025,Newham ,3.89,3.33,2.85,2.72,2.57,,,,,,,,,,,,,,,,,,
E09000028,Southwark,3.54,3.37,3.49,3.29,3.27,,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,3.53,2.95,3.05,3.14,2.86,,,,,,,,,,,,,,,,,,
E09000032,Wandsworth,3.63,3.54,3.34,3.07,3.29,,,,,,,,,,,,,,,,,,
E09000033,Westminster,3.52,3.66,3.13,3.38,3.15,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,3.23,3.27,3.39,3.15,2.84,,,,,,,,,,,,,,,,,,
E09000003,Barnet,3.41,2.74,2.60,2.37,2.50,,,,,,,,,,,,,,,,,,
E09000004,Bexley,3.07,3.24,3.46,3.16,3.06,,,,,,,,,,,,,,,,,,
E09000005,Brent ,2.77,3.29,3.07,2.50,2.57,,,,,,,,,,,,,,,,,,
E09000006,Bromley,3.30,3.22,3.15,2.76,2.98,,,,,,,,,,,,,,,,,,
E09000008,Croydon,3.47,3.04,3.32,2.89,3.12,,,,,,,,,,,,,,,,,,
E09000009,Ealing,3.86,3.58,3.38,3.36,3.35,,,,,,,,,,,,,,,,,,
E09000010,Enfield,3.15,2.54,2.57,2.19,2.49,,,,,,,,,,,,,,,,,,
E09000011,Greenwich,3.38,3.62,3.27,3.52,3.55,,,,,,,,,,,,,,,,,,
E09000015,Harrow,2.65,3.14,2.60,2.57,2.82,,,,,,,,,,,,,,,,,,
E09000016,Havering,3.40,3.17,3.12,3.02,2.65,,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,3.44,3.37,3.06,3.03,3.09,,,,,,,,,,,,,,,,,,
E09000018,Hounslow,3.54,3.39,3.17,3.25,3.13,,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,3.50,3.34,3.07,3.20,3.05,,,,,,,,,,,,,,,,,,
E09000024,Merton,3.78,3.59,3.38,3.31,3.23,,,,,,,,,,,,,,,,,,
E09000026,Redbridge,3.30,3.11,3.16,3.02,2.97,,,,,,,,,,,,,,,,,,
